rewards,,
-64.10863623749998,
237.69488902854766,
14.59166937500001,
76.44193073746874,
387.68370903865775,
28.592916875000014,
353.17266946562495,
250.2136243693534,
297.1707681636094,
319.925752688971,
831.727904811924,
550.2174158125,
362.51833642292183,
656.5075427457018,
894.5071901124688,
128.57467739011898,
-8.521443012531222,
357.836122590625,
-155,
176.59205324371874,
52.837397268847326,
279.15819757721874,
32.893467567031394,
-224.23335075988103,
1154.9246023625017,
530.7657645104845,
84.5790987886094,
-141.87066020930536,
304.65992826893216,
-310,
866.3097141230327,
987.2330865324075,
-83.225,
766.8775419656249,
191.43672740152863,
1829.610821250607,
2187.3948695260788,
-140,
550.4879705673377,
-336.4963420258128,
2321.3000891264705,
